,NO (µg/m³N),NO2 (µg/m³N),SO2 (µg/m³N),O3 (µg/m³N),TMP (ºC),HR (% H.R.),NOX (µg/m³N),DD (grados),PRB (mb),RS (W/m³),VV (m/s),C6H6 (µg/m³N),C7H8 (µg/m³N),XIL (µg/m³N),PM10 (µg/m³N)
2019-01-01,3.0,18.0,14.0,55.0,11.0,72.0,23.0,295.0,1029.0,3.0,1.0,0.5399999999999999,0.58,1.56,10.0
2019-01-02,4.0,23.0,14.0,45.0,10.0,93.0,28.0,301.0,1028.0,2.0,1.0,0.53,0.78,1.08,16.0
2019-01-03,4.0,23.0,19.0,38.0,9.0,97.0,29.0,300.0,1026.0,2.0,1.0,0.61,0.78,1.31,9.0
2019-01-04,7.0,36.0,12.0,7.0,9.0,100.0,47.0,279.0,1028.0,4.0,1.0,0.5,0.99,0.8400000000000001,22.0
2019-01-05,9.0,36.0,11.0,16.0,7.0,100.0,49.0,302.0,1030.0,3.0,1.0,0.41,0.73,0.47000000000000003,19.0
2019-01-06,4.0,17.0,12.0,54.0,10.0,99.0,22.0,278.0,1028.0,2.0,1.0,0.75,1.06,1.65,10.0
2019-01-07,5.0,25.0,15.0,38.0,9.0,78.0,32.0,315.0,1026.0,3.0,1.0,0.31,0.6900000000000001,0.96,8.0
2019-01-08,3.0,18.0,17.0,48.0,9.0,98.0,23.0,318.0,1028.0,2.0,1.0,1.55,1.7100000000000002,2.6100000000000003,13.0
2019-01-09,4.0,12.0,11.0,72.0,10.0,94.0,17.0,291.0,1022.0,2.0,1.0,0.74,0.8800000000000001,2.0,8.0
2019-01-10,4.0,18.0,9.0,63.0,14.0,45.0,24.0,301.0,1013.0,1.0,1.0,0.16,1.09,1.5,10.0
2019-01-11,4.0,26.0,18.0,52.0,7.0,65.0,31.0,303.0,1020.0,3.0,1.0,0.33,0.74,1.19,15.0
2019-01-12,4.0,18.0,19.0,67.0,7.0,69.0,24.0,280.0,1026.0,2.0,1.0,0.5799999999999998,0.7899999999999999,1.57,19.0
2019-01-13,3.0,18.0,16.0,59.0,8.0,72.0,23.0,267.0,1027.0,2.0,1.0,0.34,0.9099999999999999,1.4600000000000002,17.0
2019-01-14,4.0,14.0,10.0,68.0,10.0,90.0,20.0,295.0,1022.0,3.0,1.0,0.7499999999999999,0.9400000000000001,2.0100000000000002,5.0
2019-01-15,4.0,38.0,9.0,32.0,11.0,79.0,44.0,199.0,1018.0,3.0,1.0,0.37,0.8299999999999998,0.77,18.0
2019-01-16,5.0,31.0,10.0,16.0,9.0,100.0,37.0,320.0,1020.0,2.0,1.0,0.5399999999999999,0.8800000000000001,1.1400000000000001,15.0
2019-01-17,4.0,25.0,10.0,34.0,9.0,100.0,31.0,312.0,1016.0,3.0,1.0,0.45,0.82,1.2200000000000002,21.0
2019-01-18,3.0,25.0,8.0,26.0,10.0,81.0,29.0,206.0,1016.0,3.0,1.0,0.35000000000000003,1.1300000000000001,0.96,18.0
