NO (µg/m³N),NO2 (µg/m³N),SO2 (µg/m³N),O3 (µg/m³N),TMP (ºC),HR (% H.R.),NOX (µg/m³N),DD (grados),PRB (mb),RS (W/m³),VV (m/s),C6H6 (µg/m³N),C7H8 (µg/m³N),XIL (µg/m³N),PM10 (µg/m³N),Ruido (dBA)
5.0,30.0,15.0,43.0,10.0,85.0,37.0,299.0,1031.0,2.0,1.0,,,,26.0,
4.0,27.0,12.0,41.0,9.0,84.0,34.0,300.0,1030.0,2.0,1.0,,,,25.0,
5.0,25.0,14.0,39.0,9.0,86.0,33.0,300.0,1030.0,2.0,1.0,,,,21.0,
3.0,16.0,15.0,43.0,8.0,85.0,21.0,301.0,1029.0,3.0,1.0,,,,18.0,
4.0,15.0,14.0,46.0,8.0,84.0,22.0,302.0,1029.0,2.0,1.0,,,,16.0,
5.0,13.0,11.0,46.0,8.0,84.0,20.0,298.0,1028.0,3.0,1.0,,,,17.0,
4.0,12.0,11.0,49.0,8.0,85.0,18.0,310.0,1028.0,3.0,1.0,,,,15.0,
3.0,11.0,13.0,54.0,8.0,83.0,16.0,305.0,1027.0,2.0,1.0,,,,14.0,
4.0,11.0,11.0,54.0,8.0,82.0,17.0,305.0,1027.0,3.0,1.0,,,,13.0,
5.0,11.0,11.0,56.0,8.0,82.0,19.0,301.0,1027.0,10.0,1.0,,,,15.0,
5.0,11.0,10.0,57.0,9.0,79.0,18.0,299.0,1027.0,61.0,1.0,,,,16.0,
6.0,14.0,15.0,56.0,10.0,76.0,22.0,303.0,1027.0,138.0,1.0,,,,19.0,
6.0,16.0,17.0,56.0,11.0,74.0,24.0,300.0,1027.0,184.0,1.0,,,,17.0,
10.0,19.0,11.0,57.0,13.0,70.0,33.0,297.0,1026.0,284.0,1.0,,,,19.0,
6.0,18.0,10.0,67.0,15.0,63.0,28.0,279.0,1025.0,412.0,1.0,,,,16.0,
5.0,16.0,9.0,69.0,16.0,63.0,23.0,155.0,1024.0,221.0,1.0,,,,19.0,
6.0,16.0,10.0,79.0,15.0,58.0,25.0,205.0,1023.0,219.0,1.0,,,,10.0,
5.0,15.0,7.0,81.0,16.0,56.0,23.0,217.0,1023.0,156.0,1.0,,,,13.0,
4.0,28.0,8.0,66.0,14.0,72.0,35.0,178.0,1023.0,30.0,1.0,,,,29.0,
8.0,59.0,11.0,47.0,13.0,79.0,72.0,192.0,1023.0,4.0,1.0,,,,36.0,
7.0,79.0,11.0,36.0,13.0,78.0,90.0,219.0,1023.0,4.0,1.0,,,,38.0,
8.0,94.0,13.0,19.0,13.0,81.0,108.0,276.0,1023.0,4.0,1.0,,,,45.0,
9.0,63.0,9.0,29.0,12.0,83.0,76.0,261.0,1023.0,4.0,1.0,,,,35.0,
5.0,53.0,7.0,24.0,11.0,90.0,60.0,314.0,1023.0,3.0,1.0,,,,26.0,
3.0,21.0,6.0,53.0,11.0,88.0,26.0,248.0,1023.0,3.0,1.0,,,,16.0,
5.0,22.0,11.0,46.0,10.0,87.0,29.0,311.0,1023.0,2.0,1.0,,,,17.0,
5.0,26.0,13.0,33.0,8.0,94.0,33.0,324.0,1022.0,3.0,1.0,,,,18.0,
4.0,22.0,12.0,35.0,8.0,96.0,28.0,318.0,1022.0,2.0,1.0,,,,16.0,
3.0,21.0,10.0,40.0,8.0,97.0,26.0,311.0,1022.0,3.0,1.0,,,,17.0,
3.0,17.0,11.0,40.0,9.0,93.0,22.0,306.0,1022.0,5.0,1.0,,,,12.0,
4.0,16.0,12.0,40.0,8.0,89.0,22.0,306.0,1022.0,4.0,1.0,,,,12.0,
3.0,17.0,11.0,43.0,8.0,90.0,23.0,305.0,1022.0,3.0,1.0,,,,13.0,
4.0,22.0,10.0,42.0,8.0,91.0,28.0,300.0,1022.0,3.0,1.0,,,,17.0,
7.0,29.0,9.0,42.0,8.0,89.0,39.0,298.0,1023.0,15.0,1.0,,,,20.0,
10.0,23.0,10.0,43.0,9.0,86.0,38.0,308.0,1023.0,42.0,1.0,,,,30.0,
6.0,26.0,9.0,42.0,9.0,83.0,36.0,301.0,1023.0,81.0,1.0,,,,23.0,
8.0,27.0,11.0,40.0,11.0,80.0,40.0,302.0,1023.0,266.0,1.0,,,,22.0,
10.0,31.0,12.0,45.0,12.0,74.0,46.0,306.0,1023.0,409.0,1.0,,,,27.0,
6.0,21.0,13.0,66.0,14.0,69.0,31.0,338.0,1022.0,488.0,1.0,,,,17.0,
5.0,24.0,12.0,70.0,15.0,67.0,31.0,257.0,1021.0,422.0,1.0,,,,20.0,
3.0,23.0,12.0,79.0,16.0,62.0,28.0,178.0,1021.0,321.0,1.0,,,,18.0,
4.0,24.0,13.0,81.0,16.0,60.0,30.0,136.0,1021.0,154.0,1.0,,,,21.0,
7.0,36.0,13.0,62.0,15.0,71.0,46.0,97.0,1021.0,29.0,1.0,,,,37.0,
19.0,99.0,12.0,26.0,13.0,82.0,128.0,150.0,1021.0,3.0,1.0,,,,48.0,
43.0,127.0,15.0,4.0,11.0,89.0,193.0,295.0,1022.0,2.0,1.0,,,,73.0,
24.0,97.0,17.0,8.0,10.0,94.0,134.0,307.0,1023.0,3.0,1.0,,,,58.0,
15.0,84.0,11.0,9.0,9.0,95.0,108.0,305.0,1023.0,3.0,1.0,,,,39.0,
11.0,75.0,7.0,14.0,9.0,96.0,92.0,328.0,1023.0,3.0,1.0,,,,33.0,
6.0,40.0,6.0,38.0,10.0,95.0,49.0,307.0,1023.0,2.0,1.0,,,,30.0,
4.0,41.0,10.0,33.0,9.0,94.0,47.0,317.0,1023.0,3.0,1.0,,,,32.0,
4.0,33.0,14.0,38.0,9.0,92.0,40.0,300.0,1023.0,2.0,1.0,,,,25.0,
5.0,25.0,14.0,35.0,8.0,92.0,32.0,300.0,1023.0,3.0,1.0,,,,20.0,
3.0,24.0,13.0,37.0,8.0,92.0,28.0,297.0,1023.0,3.0,1.0,,,,20.0,
4.0,20.0,10.0,40.0,8.0,92.0,27.0,306.0,1023.0,3.0,1.0,,,,16.0,
4.0,20.0,11.0,34.0,8.0,92.0,25.0,304.0,1022.0,3.0,1.0,,,,14.0,
5.0,20.0,11.0,34.0,7.0,92.0,27.0,301.0,1022.0,3.0,1.0,,,,14.0,
30.0,55.0,13.0,30.0,8.0,91.0,101.0,297.0,1023.0,3.0,1.0,,,,19.0,
28.0,75.0,10.0,19.0,8.0,91.0,117.0,280.0,1023.0,15.0,1.0,,,,46.0,
23.0,62.0,11.0,20.0,9.0,92.0,97.0,297.0,1024.0,80.0,1.0,,,,44.0,
34.0,51.0,20.0,27.0,10.0,86.0,103.0,306.0,1024.0,143.0,1.0,,,,53.0,
19.0,45.0,19.0,37.0,13.0,77.0,74.0,318.0,1025.0,294.0,1.0,,,,50.0,
17.0,51.0,14.0,35.0,15.0,76.0,77.0,294.0,1025.0,304.0,1.0,,,,50.0,
14.0,39.0,13.0,54.0,18.0,53.0,60.0,302.0,1024.0,413.0,1.0,,,,16.0,
8.0,35.0,13.0,64.0,19.0,38.0,48.0,325.0,1023.0,340.0,1.0,,,,20.0,
6.0,35.0,9.0,68.0,20.0,36.0,44.0,300.0,1023.0,304.0,1.0,,,,18.0,
11.0,42.0,12.0,63.0,19.0,46.0,58.0,198.0,1024.0,163.0,1.0,,,,40.0,
